id,name,display_name,description,permissions,active,created_at
3,Responsabile,Responsabile,Responsabile con permessi di supervisione,"{""can_view_qr"": true, ""can_manage_qr"": false, ""can_view_sedi"": true, ""can_view_leave"": true, ""can_view_roles"": false, ""can_view_users"": true, ""can_manage_sedi"": false, ""can_view_shifts"": true, ""can_manage_leave"": false, ""can_manage_roles"": false, ""can_manage_users"": false, ""can_view_reports"": true, ""can_approve_leave"": true, ""can_manage_shifts"": true, ""can_request_leave"": true, ""can_send_messages"": true, ""can_view_coverage"": false, ""can_view_holidays"": true, ""can_view_messages"": true, ""can_view_my_leave"": true, ""can_manage_reports"": false, ""can_view_schedules"": true, ""can_manage_coverage"": false, ""can_manage_holidays"": false, ""can_view_attendance"": true, ""can_view_statistics"": true, ""can_access_dashboard"": true, ""can_manage_schedules"": false, ""can_access_attendance"": true, ""can_manage_attendance"": true, ""can_view_reperibilita"": true, ""can_view_interventions"": true, ""can_view_my_attendance"": true, ""can_manage_reperibilita"": true, ""can_view_mileage_widget"": true, ""can_manage_interventions"": true, ""can_view_expense_reports"": true, ""can_view_my_reperibilita"": true, ""can_view_overtime_widget"": true, ""can_view_sede_attendance"": true, ""can_manage_overtime_types"": false, ""can_view_mileage_requests"": true, ""can_view_my_interventions"": true, ""can_view_my_shifts_widget"": false, ""can_create_expense_reports"": true, ""can_manage_expense_reports"": false, ""can_view_my_mileage_widget"": false, ""can_view_overtime_requests"": true, ""can_view_team_stats_widget"": true, ""can_approve_expense_reports"": true, ""can_create_mileage_requests"": true, ""can_manage_mileage_requests"": false, ""can_view_my_expense_reports"": true, ""can_view_my_overtime_widget"": false, ""can_approve_mileage_requests"": true, ""can_create_overtime_requests"": false, ""can_manage_overtime_requests"": false, ""can_view_my_mileage_requests"": true, ""can_view_reperibilita_widget"": true, ""can_approve_overtime_requests"": true, ""can_view_my_attendance_widget"": true, ""can_view_my_overtime_requests"": false, ""can_view_leave_requests_widget"": true, ""can_view_expense_reports_widget"": true, ""can_view_my_reperibilita_widget"": false, ""can_view_shifts_coverage_widget"": true, ""can_view_team_management_widget"": true, ""can_view_daily_attendance_widget"": true, ""can_view_my_leave_requests_widget"": true}",t,2025-08-07 09:49:12.657779
5,Operatore,Operatore,Operatore base,"{""can_view_qr"": true, ""can_manage_qr"": false, ""can_view_sedi"": false, ""can_view_leave"": true, ""can_view_roles"": false, ""can_view_users"": false, ""can_manage_sedi"": false, ""can_view_shifts"": false, ""can_manage_leave"": false, ""can_manage_roles"": false, ""can_manage_users"": false, ""can_view_reports"": false, ""can_approve_leave"": false, ""can_manage_shifts"": false, ""can_request_leave"": true, ""can_send_messages"": false, ""can_view_coverage"": false, ""can_view_holidays"": true, ""can_view_messages"": true, ""can_view_my_leave"": true, ""can_manage_reports"": false, ""can_view_schedules"": false, ""can_manage_coverage"": false, ""can_manage_holidays"": false, ""can_view_attendance"": true, ""can_view_statistics"": false, ""can_access_dashboard"": true, ""can_manage_schedules"": false, ""can_access_attendance"": true, ""can_manage_attendance"": false, ""can_view_reperibilita"": true, ""can_view_interventions"": true, ""can_view_my_attendance"": true, ""can_manage_reperibilita"": false, ""can_view_mileage_widget"": false, ""can_manage_interventions"": false, ""can_view_expense_reports"": false, ""can_view_my_reperibilita"": true, ""can_view_overtime_widget"": false, ""can_view_sede_attendance"": false, ""can_manage_overtime_types"": false, ""can_view_mileage_requests"": false, ""can_view_my_interventions"": true, ""can_view_my_shifts_widget"": true, ""can_create_expense_reports"": true, ""can_manage_expense_reports"": false, ""can_view_my_mileage_widget"": true, ""can_view_overtime_requests"": false, ""can_view_team_stats_widget"": false, ""can_approve_expense_reports"": false, ""can_create_mileage_requests"": true, ""can_manage_mileage_requests"": false, ""can_view_my_expense_reports"": true, ""can_view_my_overtime_widget"": true, ""can_approve_mileage_requests"": false, ""can_create_overtime_requests"": true, ""can_manage_overtime_requests"": false, ""can_view_my_mileage_requests"": true, ""can_view_reperibilita_widget"": false, ""can_approve_overtime_requests"": false, ""can_view_my_attendance_widget"": true, ""can_view_my_overtime_requests"": true, ""can_view_leave_requests_widget"": false, ""can_view_expense_reports_widget"": false, ""can_view_my_reperibilita_widget"": true, ""can_view_shifts_coverage_widget"": false, ""can_view_team_management_widget"": false, ""can_view_daily_attendance_widget"": false, ""can_view_my_leave_requests_widget"": true}",t,2025-08-07 09:49:12.738539
4,Supervisore,Supervisore,Supervisore con permessi limitati,"{""can_view_shifts"": true, ""can_view_reports"": true, ""can_view_my_leave"": false, ""can_view_attendance"": true, ""can_access_dashboard"": true, ""can_view_my_attendance"": true, ""can_view_leave_requests"": true, ""can_view_my_reperibilita"": false, ""can_view_my_interventions"": false}",t,2025-08-07 09:49:12.698031
2,Amministratore,Amministratore,Amministratore del sistema con accesso completo,"{""can_access_dashboard"": true, ""can_manage_roles"": true, ""can_view_roles"": true, ""can_manage_users"": true, ""can_view_users"": true, ""can_manage_sedi"": true, ""can_view_sedi"": true, ""can_manage_schedules"": true, ""can_view_schedules"": true, ""can_manage_shifts"": true, ""can_view_shifts"": true, ""can_manage_reperibilita"": true, ""can_view_reperibilita"": true, ""can_view_my_reperibilita"": true, ""can_manage_coverage"": true, ""can_view_coverage"": true, ""can_manage_attendance"": true, ""can_view_attendance"": true, ""can_view_my_attendance"": true, ""can_access_attendance"": true, ""can_view_sede_attendance"": true, ""can_manage_leave"": true, ""can_approve_leave"": true, ""can_request_leave"": true, ""can_view_leave"": true, ""can_view_my_leave"": true, ""can_manage_interventions"": true, ""can_view_interventions"": true, ""can_view_my_interventions"": true, ""can_manage_holidays"": true, ""can_view_holidays"": true, ""can_manage_qr"": true, ""can_view_qr"": true, ""can_view_reports"": true, ""can_manage_reports"": true, ""can_view_statistics"": true, ""can_send_messages"": true, ""can_view_messages"": true, ""can_manage_expense_reports"": true, ""can_view_expense_reports"": true, ""can_view_my_expense_reports"": true, ""can_approve_expense_reports"": true, ""can_create_expense_reports"": true, ""can_view_team_stats_widget"": true, ""can_view_my_attendance_widget"": false, ""can_view_team_management_widget"": true, ""can_view_leave_requests_widget"": false, ""can_view_my_leave_requests_widget"": false, ""can_view_daily_attendance_widget"": false, ""can_view_shifts_coverage_widget"": false, ""can_view_my_shifts_widget"": false, ""can_view_reperibilita_widget"": false, ""can_view_my_reperibilita_widget"": false, ""can_view_expense_reports_widget"": false, ""can_manage_overtime_requests"": true, ""can_approve_overtime_requests"": true, ""can_create_overtime_requests"": true, ""can_view_overtime_requests"": true, ""can_view_my_overtime_requests"": true, ""can_manage_overtime_types"": true, ""can_view_overtime_widget"": false, ""can_view_my_overtime_widget"": false, ""can_create_mileage_requests"": true, ""can_view_mileage_requests"": true, ""can_approve_mileage_requests"": true, ""can_manage_mileage_requests"": true, ""can_view_my_mileage_requests"": true, ""can_view_mileage_widget"": false, ""can_view_my_mileage_widget"": false}",t,2025-08-07 09:49:12.610814
